Name,Address,City,State,Phone,Web Address,Street Address,Service,Type,Zip
TANANA CHIEFS CONFERENCE,122 1st Ave,Fairbanks,AK,907-452-8251,www.tananachiefs.org,"122 1st Ave, Ste 600",Primary Care,Free,99701
NorthLakes - Hurley,115 5th Ave N,Hurley,WI,888-834-4551,,7665 US Highway 2,Primary Care,Free,54534
Mountain Home Jr. High School,1600 E 6th S,Mountain Home,ID,208-587-3988,www.desesrtsagehealthcenters.org,120 Desert Sage Way,Primary Care,Free,83647
Sebasticook Family Doctors - Dexter,29 Church St,Dexter,ME,207-924-5200,www.hhcme.org,118 Moosehead Trl,Primary Care,Free,4930
CHCL Medical Plaza,3502 9th St STE 280,Lubbock,TX,806-791-5537,,1610 5th St,Primary Care,Free,79415
QUEENS HEALTH CENTER SITE,Sutphin Blvd,Jamaica,NY,718-657-7088,www.chnnyc.org,60 Madison Ave FL 5,Primary Care,Free,11435
Panther Academy Healthy Kids Clinic,634 N Mulberry St,Elizabethtown,KY,270-765-3007,www.cumberlandfamilymedical.com,"360 Keen St, Ste 500",Primary Care,Free,42701
HAWKINS VILLAGE MEDICAL CLINIC,333 Schwerin St,San Francisco,CA,415-585-2451,,170C Capp St,Primary Care,Free,94134
HMS LORDSBURG HSHC,528 E 2nd St,Lordsburg,NM,505-542-3389,www.hmsnm.org,530 De Moss St,Primary Care,Free,88045
Red Oak Elementary,921 Union Mill Rd,Nicholasville,KY,859-881-4388,www.healthpointfc.org,215 E 11th St,Primary Care,Free,40356
KVHC Katahdin Elementary School,805 Station Rd,Stacyville,ME,207-538-3700,www.kvhc.org,529 S Patten Rd,Primary Care,Free,04777
East Bay Recovery Center,31 Railroad Ave,Warren,RI,401-374-3129,,19 Broadway,Primary Care,Free,02885
TriCounty Health System - Gibson,702 W Main St,Gibson,GA,706-598-3359,www.chcsga.org,2251 W Elm St,Primary Care,Free,30810
Hope Recuperative Care,1581 N Main St,Las Vegas,NV,702-229-6117,,4040 N Martin L King Blvd STE A,Primary Care,Free,89101
Bernard P. Alicki Health Center,1101 W Broward Blvd,Fort Lauderdale,FL,954-527-6042,WWW.BROWARDHEALTH.ORG/BODY.CFM?ID=846,"1800 NW 49th St, Ste 120",Primary Care,Free,33312
WAIOLA CLINIC,86-120 Farrington Hwy,Waianae,HI,808-697-3300,www.wcchc.com,86-260 Farrington Hwy,Primary Care,Free,96792
Clinicas Del Camino Real Inc - Ocean View,4400 Olds Rd,Oxnard,CA,805-986-5551,www.clinicas.org,1040 Flynn Rd,Primary Care,Free,93033
ARcare - 009,2805 Mid Cities Dr,Bentonville,AR,870-347-2534,www.arcare.net,117 S 2nd St,Primary Care,Free,72712
Ka'u Family Health and Dental Center,95-5583 Mamalahoa Hwy,Naalehu,HI,808-333-3600,,75-5751 Kuakini Hwy,Primary Care,Free,96772
COMPLETE CARE COMMUNITY HEALTH CENTER,2928 E Cesar E Chavez Ave,Los Angeles,CA,323-266-6700,Under Construction,3000 S Robertson Blvd STE 280,Primary Care,Free,90033
Health Partners Admin Annex,318 W North St,Lima,OH,419-221-3072,www.hpwohio.org,329 N West St,Primary Care,Free,45801
MHC Counseling and Wellness Center,13395 N Marana Main St,Marana,AZ,520-682-4111,maranahealthcenter.org,13395 North Marana Main Street,Primary Care,Free,85653
Nexus Health Care,1415 Jefferson Ave,Toledo,OH,419-720-7883,www.nhainc.org,313 Jefferson Ave,Primary Care,Free,43604
MCHC - WIC Site,1820 N Mastick Way,Nogales,AZ,520-281-1550,,825 North Grand Avenue,Primary Care,Free,85621
Star Community Health-Coventry,"755 Memorial Pkwy, Ste 300",Phillipsburg,NJ,908-847-3300,starcommunityhealth.org,388 Memorial Pkwy Ste B,Primary Care,Free,08865
ACHCH Tiburcio Vasquez Health Center Zone 3 Street Health Mobile Unit,22331 Mission Blvd,Hayward,CA,510-471-5907,www.tvhc.org,"1404 Franklin St, Ste 200",Primary Care,Free,94541
Medical Mobile Unit #4 (Specialty),3550 Swingle Rd,Houston,TX,346-426-0500,,4800 Fournace Pl # 6W,Primary Care,Free,77047
Beaufort Jasper Hampton Comprehensive Health Services Mobile Unit,719 Okatie Hwy,Okatie,SC,843-987-7400,www.bjhchs.org,721 Okatie Hwy,Primary Care,Free,29909
"Northwest Michigan Health Services, Inc.",119 S State St,Shelby,MI,231-861-2130,www.nmhsi.org,10767 E Traverse Hwy,Primary Care,Free,49455
PanCare - Bonifay,495 Saint Johns Rd,Bonifay,FL,850-547-5547,,403 E 11th St,Primary Care,Free,32425
MOCH Wellness Center,603 W Broadway Ave,Ava,MO,417-683-5739,https://mo-ozarks.org,504 W Broadway Ave,Primary Care,Free,65608
Amoskeag Health at Central High School,535 Beech St RM 714,Manchester,NH,603-626-9500,www.amoskeaghealth.org,145 Hollis St,Primary Care,Free,03104
NUESTRA CLINICA DEL VALLE - EDCOUCH,1518 Santa Rosa Ave,Edcouch,TX,956-262-1363,www.nuestraclinicadelvalle.org,801 W 1st St,Primary Care,Free,78538
Sea Mar CHC - Mt. Vernon E. College Way,1010 E College Way,Mount Vernon,WA,360-542-8920,www.seamar.org,1040 S Henderson St,Primary Care,Free,98273
CAMCARE - NORTH HEALTH CENTER,N 6th St & Erie St,Camden,NJ,856-757-9180,WWW.CAMCARE.NET,817 Federal St,Primary Care,Free,8102
Star City Dental,557 Kirkwood Rd,Star City,AR,870-628-5110,,342 Highway 425 S,Primary Care,Free,71667
GFHC Mobile Health Unit,40 Mansfield Ave,Willimantic,CT,860-450-7471,www.genhealth.org,40 Mansfield Ave,Primary Care,Free,06226
Brown Square Health Center,322 Lake Ave,Rochester,NY,585-436-3040,none,82 Holland St,Primary Care,Free,14608
Meridian Health Services Corp,520 S 9th St STE A,Richmond,IN,765-935-5390,,240 N Tillotson Ave,Primary Care,Free,47374
Family Medical Center - Noble Elementary-Middle School,8646 Fullerton St,Detroit,MI,313-873-0377,,8765 Lewis Ave,Primary Care,Free,48238
OGEMAW CLINIC OF STERLING AHC,1827 Greenwood Rd,Prescott,MI,989-873-6200,sterlinghealth.net,725 E State St,Primary Care,Free,48756
Emlenton Health Center,516 Main St,Emlenton,PA,724-342-3002,,63 Pitt St,Primary Care,Free,16373
Center for Family and Child Enrichment,1825 NW 167th St,Miami Gardens,FL,305-474-1803,www.cfceinc.org,1825 NW 167th St,Primary Care,Free,33056
LACHC Mobile Medical Van #1,325 E 7th St,Los Angeles,CA,213-893-1960,,315 W 9th St STE 950,Primary Care,Free,90014
"Baltimore Medical System, Inc.",5525 Eastern Ave,Baltimore,MD,410-732-8800,,5525 Eastern Ave,Primary Care,Free,21224
LCHC Apache,1102 S Coblake St,Apache,OK,580-588-3257,,3401 W Gore Blvd,Primary Care,Free,73006
Roanoke River Orthopedics,220 Green St,Williamston,NC,252-792-0305,www.agapechc.org,101 South Market Street,Primary Care,Free,27892
Liberal High School School-Based Behavioral Health Program,1611 W 2nd St,Liberal,KS,620-271-7400,,712 Saint John St,Primary Care,Free,67901
Mobile Medical Unit,4798 New Highway 68,Madisonville,TN,423-442-2622,,4798 New Highway 68,Primary Care,Free,37354
Central City Community Health Center. Inc. - Baldwin Park 1,4126 N Maine Ave,Baldwin Park,CA,626-653-0800,www.centralcityhealth.org,2019 Saturn St,Primary Care,Free,91706
Blue Ridge Health - Swain County High School,1415 Fontana Rd,Bryson City,NC,828-488-2152,,2579 Chimney Rock Road,Primary Care,Free,28713
Lamprey Health Care - Administration II,205 S Main St,Newmarket,NH,603-659-2494,WWW.LAMPREYHEALTH.ORG,207 S Main St,Primary Care,Free,03857
Blue Ridge Health-Pisgah Forest Elementary School,1160 Ecusta Rd,Brevard,NC,828-877-4481,,2579 Chimney Rock Road,Primary Care,Free,28712
Eastpoint Medical Center,158 US Highway 98,Eastpoint,FL,850-670-8585,,2804 Remington Green Cir,Primary Care,Free,32328
Audubon Area Community Care Clinic - Cravens Elementary School,2741 Cravens Ave,Owensboro,KY,270-686-6040,https://www.audubon-area.com/clinic.html,1700 W 5th St,Primary Care,Free,42301
EMMAUS HOUSE,150 How St,Haverhill,MA,978-725-7400,www.glfhc.org,1 Griffin Brook Drive,Primary Care,Free,01830
Variety Care Anadarko,718 W Petree Rd,Anadarko,OK,405-632-6688,,3000 N Grand Blvd,Primary Care,Free,73005
Valley Family Health Care - Nyssa Medical Clinic,17 S 3rd St,Nyssa,OR,541-372-5738,www.vfhc.org,1441 NE 10th Ave,Primary Care,Free,97913
Wesley Health Centers - Zonal Ave,1774 Zonal Ave BLDG E,Los Angeles,CA,323-352-5650,http://jwchinstitute.org/,5650 Jillson St,Primary Care,Free,90033
Desert Senita Community Health Center Arizona City,13060 South Sunland Gin Road,Arizona City,AZ,520-466-5774,,410 North Malacate Street,Primary Care,Free,85123
Alcona Health Center Petoskey Child Health Associates,2390 Mitchell Park Dr STE A,Petoskey,MI,231-487-2250,www.alconahealthcenters.org,1035 W Washington Ave,Primary Care,Free,49770
Shasta Cascade Health Centers - Mt. Shasta,824 Pine St,Mount Shasta,CA,530-926-4528,www.shastacascadehealth.org,116 W Minnesota Ave,Primary Care,Free,96067
ARcare - 107,1810 E Highland Dr,Jonesboro,AR,870-641-4354,www.arcare.net,117 S 2nd St,Primary Care,Free,72401
Peoples Health Center,2340 E 10th St,Indianapolis,IN,317-957-2200,www.indyhealthnet.org,3403 E Raymond St,Primary Care,Free,46201
"Northwest Michigan Health Services, Inc.",6051 Frankfort Hwy,Benzonia,MI,231-947-1112 x205,www.nmhsi.org,10767 E Traverse Hwy,Primary Care,Free,49616
La Fe Administration,1314 E Yandell Dr,El Paso,TX,915-534-7979,,1314 E Yandell Dr,Primary Care,Free,79902
ACHCH Lifelong Downtown South Berkeley Street Health Team Zone 13 Mobile Health Unit,"3075 Adeline St, Ste 280",Berkeley,CA,510-981-4100,www.lifelongmedical.org,"1404 Franklin St, Ste 200",Primary Care,Free,94703
Hartford Family Health & Wellness Center,43 Woodland St,Hartford,CT,860-793-3500,www.wheelerclinic.org,91 Northwest Dr,Primary Care,Free,06105
AltaMed Dental Group - Mobile Unit #1,1325 N Anaheim Blvd STE 200,Anaheim,CA,888-499-9303,www.altamed.org,2040 Camfield Ave,Primary Care,Free,92801
Stafford Clinic Site,412 Grand Ave,Stafford,KS,620-234-2700,,1905 19th St,Primary Care,Free,67578
Community First Health Centers - Algonac,555 Saint Clair River Dr,Algonac,MI,810-794-4982,www.communityfirsthc.org,555 Saint Clair River Dr,Primary Care,Free,48001
Lake County Dental,223 Harrison Ave,Leadville,CO,970-668-4055,,360 Peak One Dr STE 100,Primary Care,Free,80461
Prevention Assessment Temporary Housing,151 E 151st St,Bronx,NY,718-872-9490,www.thefloatinghospital.org,2101 41st Ave,Primary Care,Free,10451
KentuckyCare - 151,850 Cutoff Rd,Smithland,KY,870-347-2534,www.arcare.net,117 S 2nd St,Primary Care,Free,42081
Aaron E Henry - Quitman School Base Clinic,1362 Martin Luther King Dr,Marks,MS,662-483-1329,http://www.aehchc.org,510 Highway 322,Primary Care,Free,38646
Hamilton Health Center Family Practice at Steelton,120 N Front St,Steelton,PA,717-232-9971,,110 S 17th St,Primary Care,Free,17113
CHEVAK CLINIC,"#1 CLINIC ROAD, GEN. DELIVERY",Chevak,AK,907-675-4556,WWW.YKHC.ORG,Hoffman Rd,Primary Care,Free,99563
PMS - Grants Family Counseling,1040 Sakelares Blvd,Grants,NM,505-876-1890,,1422 Paseo De Peralta,Primary Care,Free,87020
Meridian Health Services Corp,105 Hillcrest Ct,Ossian,IN,765-288-1928,,240 N Tillotson Ave,Primary Care,Free,46777
Columbia Basin Pediatric Dentistry,7501 W Deschutes Pl,Kennewick,WA,509-783-1960,,604 W 1st Ave,Primary Care,Free,99336
Edison Elementary School,17405 Grand River Ave,Detroit,MI,734-654-2169,,8765 Lewis Ave,Primary Care,Free,48227
Center Elementary School SBHC,12 Old Farms Rd,Willington,CT,860-429-9367,,635 Main St,Primary Care,Free,06279
COUNTY HEALTH CLINIC - LOMPOC,301 N R St,Lompoc,CA,805-737-6400,WWW.SBCPHD.ORG,300 N San Antonio Rd,Primary Care,Free,93436
LAKELANDS FAMILY PRACTICE AND PEDIATRICS CENTER,17124 Highway 72 W,Waterloo,SC,864-393-1020,www.carolinahealthcenters.org,313 Main St,Primary Care,Free,29384
"Family Health Care Clinic, Inc., --Columbia",628 Main St,Columbia,MS,601-823-1710,www.familyhealthcareclinic.com,4635 Highway 80 E,Primary Care,Free,39429
Farmington R-VII Lincoln Intermediate,708 S Fleming St,Farmington,MO,573-664-1221,www.gmhcenter.org,1 Southtowne Dr,Primary Care,Free,63640
CHN MDC Padron,627 SW 27th Ave,Miami,FL,305-237-6242,,4175 W 20th Ave,Primary Care,Free,33135
Beverly Center Elementary School-Based Behavioral Health Clinic,510 5th St,Beverly,OH,740-541-9295,,1049 Western Ave,Primary Care,Free,45715
Genesis PrimeCare Marshall Family #2,622 S Grove St,Marshall,TX,903-938-1146,,400 S Alamo Blvd,Primary Care,Free,75670
San Juan Family Dental,217 S 100 W,Monticello,UT,435-587-2528,,State Rte-162,Primary Care,Free,84535
Riverside Medical Services 3300,300 Riverside Dr E,Bradenton,FL,941-776-4000,www.mcr.health,101 Riverfront Blvd,Primary Care,Free,34208
Adair County Primary Healthy Kids Clinic,158 Col Casey Dr,Columbia,KY,270-384-3367,,"360 Keen St, Ste 500",Primary Care,Free,42728
Hmong American Peace Academy,4601 N 84th St,Milwaukee,WI,414-800-1791,www.ochc-milw.org,220 W Capitol Dr,Primary Care,Free,53225
Omni Family Health,4131 Ming Ave,Bakersfield,CA,866-707-6664,www.OmniFamilyHealth.org,"4900 California Ave, Ste 400B",Primary Care,Free,93309
Kintegra/SHA at Mineral Springs,4555 Ogburn Ave,Winston Salem,NC,336-617-1839,www.kintegra.org,200 East Second Avenue,Primary Care,Free,27105
Waterbury Health & Wellness Center,855 Lakewood Rd,Waterbury,CT,860-793-3500,www.wheelerclinic.org,91 Northwest Dr,Primary Care,Free,06704
MAHEC at East McDowell Middle,676 State St,Marion,NC,828-652-7711,,121 HENDERSONVILLE RD,Primary Care,Free,28752
HMS Bridges to Care,1000 N Hudson St,Silver City,NM,575-597-0211,,530 De Moss St,Primary Care,Free,88061
Camden Family Health - Cherry River,190 Riverside Dr RM 2109,Richwood,WV,304-226-5725,,10003 Webster Rd,Primary Care,Free,26261
Comprehensive Life Resources Clinic,737 Fawcett Ave,Tacoma,WA,253-830-5969,,"1148 Broadway, Suite 100",Primary Care,Free,98402
Birch Community Health Center,"812 E Jolly Rd, Ste 112",Lansing,MI,517-244-8030,hd.ingham.org/chc,5303 S Cedar St,Primary Care,Free,48910
"Rural Health Medical Program, Inc - Selma Health Center and Administrative Office",101 Park Pl,Selma,AL,334-874-7428 x2,www.rhmpi.com,101 Park Pl,Primary Care,Free,36701
Family Healthcare Hurricane Utah School Based Clinic,391 N 200 W,Hurricane,UT,435-986-2565,,2276 E Riverside Dr,Primary Care,Free,84737
Prism Health North Texas at Farmers Branch Dental Health Center,13551 Dennis Ln,Dallas,TX,972-241-2259,https://www.phntx.org,3900 JUNIUS ST STE 300,Primary Care,Free,75234
Dutton Campus,1300 N Dutton Ave,Santa Rosa,CA,707-303-3600,www.srhealth.org,3569 Round Barn Cir,Primary Care,Free,95401
Crossroads Family Care,1115 US Highway 259 S,Henderson,TX,903-392-8203,,106 W Rusk St,Primary Care,Free,75654
Valley-Wide Support Services- Lamar,3500 1st St S,Lamar,CO,800-511-5446,,128 Market St,Primary Care,Free,81052
Nancy Lopez Elementary School Based Dental,1208 E Bland St,Roswell,NM,575-627-2511,,1515 W Fir St,Primary Care,Free,88203
ARcare - 005,304 Highway 64 E,Augusta,AR,870-347-2534,arcare.net,117 S 2nd St,Primary Care,Free,72006
Clinica Family Health & Wellness -- Dixon Clinic,1455 Dixon Ave,Lafayette,CO,303-650-4460,,1735 S Public Rd,Primary Care,Free,80026
Dunlap Elementary - Pennfield Schools,8465 Pennfield Rd,Battle Creek,MI,269-961-9789,,181 Emmett St W,Primary Care,Free,49017
San Ysidro Health Maternal & Child Health Center,4050 Beyer Blvd,San Ysidro,CA,619-662-4100,,1601 Precision Park Ln,Primary Care,Free,92173
School Clinic - Sebastopol,445 Taft St,Sebastopol,CA,707-869-5977,,16312 3rd St,Primary Care,Free,95472
Jennings Creek Elementary Healthy Kids Clinic,2617 Russellville Rd,Bowling Green,KY,270-904-9200,,"360 Keen St, Ste 500",Primary Care,Free,42101
Central Oklahoma Family Medical Center - W&F,2901 Arlington St,Ada,OK,580-436-5511,www.cofmc.com,527 W 3rd St,Primary Care,Free,74820
Whittier Engagement Center,1290 Tremont Street,Roxbury Crossing,MA,617-427-1000,,1290 Tremont Street,Primary Care,Free,02120
JACKSON-HINDS JIM HILL HIGH SCHOOL SBHC,2185 Fortune St,Jackson,MS,601-969-2188,www.jackson-hinds.com,3502 W Northside Dr,Primary Care,Free,39204
West Marion Elementary School,820 Marler Rd,Marion,NC,828-583-6733,,257 Biltmore Avenue,Primary Care,Free,28752
CHP Adams Family Dental,19 Depot St,Adams,MA,413-307-6044,https://www.chpberkshires.org/,444 Stockbridge Road,Primary Care,Free,01220
Juniper Health Breathitt County Elementary,90 L B J Rd,Jackson,KY,606-666-9950,www.juniperhealth.org,1025 Grand Ave,Primary Care,Free,41339
Gillespie Community Unit School District #7,510 W Elm St,Gillespie,IL,217-839-2464,,205 Oakland Ave,Primary Care,Free,62033
Venice Family Clinic - Irma Colen Administration Suite,12099 W Washington Blvd STE 304,Los Angeles,CA,310-664-7948,,604 Rose Ave,Primary Care,Free,90066
Jordan Valley Community Health Center - Grand,1720 W Grand St,Springfield,MO,417-831-0150,,618 N Benton Ave,Primary Care,Free,65802
"Uptown Community Health Center, Inc. Seton Women's Center","1960 N Ogden St, Suite 340",Denver,CO,303-318-3830,www.uptowncommunityhealth.org,1960 N OGDEN ST STE 300,Primary Care,Free,80218
CHPY-COLE STREET CLINIC,555 Cole St,San Francisco,CA,415-751-8181,,170C Capp St,Primary Care,Free,94117
Fetter Mobile Medical Unit 3,51 Nassau St,Charleston,SC,843-722-4112,www.fetterhealthcare.org,51 Nassau St,Primary Care,Free,29403
Morongo Basin Community Health Center-BH,58383 29 Palms Hwy STE 101,Yucca Valley,CA,760-366-1548,www.mbhdistrict.org,"6530 La Contenta Rd, Ste 100",Primary Care,Free,92284
Waianae Coast Comprehensive Health Center - Accounting and Human Resources,86-120 Farrington Hwy STE C304B,Waianae,HI,808-697-3171,,86-260 Farrington Hwy,Primary Care,Free,96792
Hominy Valley Health Center,1914 Smokey Park Highway,Candler,NC,828-285-0622,www.wncchs.org,257 Biltmore Avenue,Primary Care,Free,28715
Monticello Healthy Kids Clinic,160 Cave St,Monticello,KY,606-348-3900,,"360 Keen St, Ste 500",Primary Care,Free,42633
BENHAVEN MEDICAL CENTER,985 Nc 87 S,Cameron,NC,919-499-9422,www.firstchoicechc.org,40 Autumn Fern Trl,Primary Care,Free,28326
City of Cincinnati Health Department/Administration Offices/Ambrose H. Clement,3101 Burnet Ave,Cincinnati,OH,513-357-7200,www.cincinnati-oh.gov,3101 Burnet Ave,Primary Care,Free,45229
Primary Health Care - University Dental Clinic,1200 University Ave STE 100,Des Moines,IA,515-248-1850,,"1200 University Ave, Ste 200",Primary Care,Free,50314
Turlock Health Center,2141 Colorado Ave,Turlock,CA,833-850-3500,www.visitlch.org,600 B St,Primary Care,Free,95382
"New Horizons Healthcare, Valley View",5060 Valley View Blvd NW,Roanoke,VA,540-362-0360,newhorizonshealthcare.org,3716 Melrose Ave NW,Primary Care,Free,24012
MMC Nahunta,9355 Main St S,Nahunta,GA,912-462-6222,www.mckinneymedicalcenter.com,935 Mcdonald St,Primary Care,Free,31553
Solutions Building,245 High Street,Holyoke,MA,413-420-2200,,230 Maple Street,Primary Care,Free,01040
E.B. Frink Middle School,102 Martin Luther King Jr Dr,La Grange,NC,252-566-3326,https://www.lcpsnc.org/frink,324 North Queen Street,Primary Care,Free,28551
Lee County Cooperative Clinic dba Olly Neal Community Health Center,558 Atkins Blvd,Marianna,AR,870-295-5225,www.lccc.us.com,558 Atkins Blvd,Primary Care,Free,72360
Delphi Community High School,301 Armory Rd,Delphi,IN,765-564-3481,,2550 Northwestern Ave # 1100,Primary Care,Free,46923
Sikeston Alternative Education Center Clinic,835 W Murray Ln,Sikeston,MO,573-472-8887,,6738 State Highway 77,Primary Care,Free,63801
Vision Van #2,222 Mctigue Dr,Toledo,OH,419-221-3072,www.hpwohio.org,329 N West St,Primary Care,Free,43615
Lockhart Family Practice Center,2060 S Colorado St # 183,Lockhart,TX,830-494-4001,www.chcsct.com,228 St George St,Primary Care,Free,78644
East Georgia Healthcare Center - Wadley,257 N Main St,Wadley,GA,478-252-0027,chcsga.org,2251 W Elm St,Primary Care,Free,30477
Matchbook Learning at No 63,1163 N Belmont Ave RM 100,Indianapolis,IN,317-226-4263,,3400 Lafayette Rd STE 200,Primary Care,Free,46222
"HOLYOKE HEALTH CENTER, INC.",230 Maple Street,Holyoke,MA,413-420-2111,https://www.hhcinc.org/,230 Maple Street,Primary Care,Free,01040
Clinicas Del Camino Real Inc - Newbury Park,1000 Newbury Rd STE 150,Newbury Park,CA,805-498-3640,www.clinicas.org,1040 Flynn Rd,Primary Care,Free,91320
Proctorville Health Care Center,10777 County Road 107,Proctorville,OH,740-302-0541,www.ilcao.org,305 N 5th St,Primary Care,Free,45669
Clover Fork School Based Health at Cumberland Elementary,322 Golf Course Rd,Cumberland,KY,606-589-2511,,101 CHAD STREET,Primary Care,Free,40823
GCHC Port Arthur Park Plaza Site,2927 Park Plaza Ln,Port Arthur,TX,409-983-1161,www.gulfcoasthc.org,2548 Memorial Blvd,Primary Care,Free,77642
VCC:  VALE TERRACE,1000 Vale Terrace Dr,Vista,CA,760-631-5000,WWW.VCC.ORG,1000 Vale Terrace Dr,Primary Care,Free,92084
"Fenway Health, Ansin Building",1340 Boylston Street,Boston,MA,617-267-0900,www.fenwayhealth.org,1340 Boylston Street,Primary Care,Free,02215
HPM Foundation Inc. Culebra,Bole BuildingDr. Pedro Marquez St. Final,Culebra,PR,787-268-4171 x0000,healthpromed.org,2020 Ave Borinquen,Primary Care,Free,775
Grace Health SBHC Hayes Lewis Elementary,10130 Cutshin Rd,Yeaddiss,KY,606-279-4121,,"1019 Cumberland Falls Hwy, Ste B201",Primary Care,Free,41777
CHDI Ham Lane,115 Ham Ln,Uvalde,TX,830-278-7105,https://chdi4health.org,908 Evans St,Primary Care,Free,78801
M.S. 424,730 Bryant Ave,Bronx,NY,718-378-3250,WWW.URBANHEALTHPLAN.ORG,1065 Southern Blvd,Primary Care,Free,10474
Greene-Hills School,718 Pine St,Bristol,CT,860-793-3884,www.wheelerclinic.org,91 Northwest Dr,Primary Care,Free,06010
Hopewell Health Centers - McArthur,31891 State Route 93,Mc Arthur,OH,740-596-5249,http://www.hopewellhealth.org,1049 Western Ave,Primary Care,Free,45651
NEIGHBORHOOD HEALTHCARE ~ Pediatrics,426 N Date St,Escondido,CA,760-690-5900,www.nhcare.org,215 S Hickory St,Primary Care,Free,92025
"Mainline Health Systems, Inc. Specialty Services",342 Highway 425 S,Monticello,AR,870-538-5414,www.mainlinehealth.net,342 Highway 425 S,Primary Care,Free,71655
Smart Junior High,1934 W 5th St,Davenport,IA,563-336-3000,https://www.chcqca.org/schoolhealth,500 W River Dr,Primary Care,Free,52802
Omni Family Health,161 N Mill St,Tehachapi,CA,866-707-6664,www.OmniFamilyHealth.org,"4900 California Ave, Ste 400B",Primary Care,Free,93561
EMAA Head Start Clinic,512 State St,Mineral Point,MO,573-438-9355,,1 Southtowne Dr,Primary Care,Free,63660
Plexus Health | Kershaw,212 E Marion St,Kershaw,SC,803-475-2083,www.plexushealth.com,212 E Marion St,Primary Care,Free,29067
MAP @ Aiken,33 Varden Dr,Aiken,SC,706-790-4440,mapbt.com,2467 Golden Camp Rd,Primary Care,Free,29803
Drew Central School District,250 University Dr,Monticello,AR,870-224-0056,www.mainlinehealth.net,342 Highway 425 S,Primary Care,Free,71655
The Health Center at APW Elementary School,640 County Route 22,Parish,NY,315-625-5210,www.nochsi.org,61 Delano St,Primary Care,Free,13131
CHN at Hammond Central High,5926 Calumet Ave,Hammond,IN,219-880-1190,www.chn-indiana.org,1021 W 5TH AVE,Primary Care,Free,46320
